Symbol,Name,AtomicNumber,AddH,Colour,CovalentRadius,VdWRadius,Valency,Mass,Valences,Isotopes,Group,Row,PTRow,PTColumn,PTElementType
Am,Americium,95,FALSE,#545CF2,1.8,0,0,-243.0614,2|3|4|5|6,,3,7,8,8,actinide
Cm,Curium,96,FALSE,#785CE3,1.69,0,0,-247.0703,3|4,,3,7,8,9,actinide
Bk,Berkelium,97,FALSE,#8A4FE3,0,0,0,-247.0703,3|4,,3,7,8,10,actinide
Cf,Californium,98,FALSE,#A136D4,0,0,0,-251.0796,,,3,7,8,11,actinide
Es,Einsteinium,99,FALSE,#B31FD4,0,0,0,-252.083,,,3,7,8,12,actinide
Fm,Fermium,100,FALSE,#B31FBA,0,0,0,-257.0951,,,3,7,8,13,actinide
Md,Mendelevium,101,FALSE,#B30DA6,0,0,0,-258.0984,2|3,,3,7,8,14,actinide
No,Nobelium,102,FALSE,#BD0D87,0,0,0,-259.1011,,,3,7,8,15,actinide
Lr,Lawrencium,103,FALSE,#C70066,0,0,0,-262.1098,3,,3,7,6,2,transition_metal
Rf,Rutherfordium,104,FALSE,#CC0059,0,0,0,-261.1089,,,4,7,6,3,transition_metal
Db,Dubnium,105,FALSE,#D1004F,0,0,0,-262.1144,,,5,7,6,4,transition_metal
Sg,Seaborgium,106,FALSE,#D90045,0,0,0,-263.1186,,,6,7,6,5,transition_metal
Bh,Bohrium,107,FALSE,#E00038,0,0,0,-262.1231,,,7,,6,6,transition_metal
Hs,Hassium,108,FALSE,#E6002E,0,0,0,-265.1306,,,8,,6,7,transition_metal
Mt,Meitnerium,109,FALSE,#EB0026,0,0,0,-266.1378,,,9,,6,8,transition_metal
Ds,Darmstadtium,110,FALSE,#000000,0,0,0,-268,,,10,,6,9,transition_metal
Rg,Roentgenium,111,FALSE,#000000,0,0,0,-269,,,,,6,10,transition_metal
Cn,Copernicium,112,FALSE,#000000,0,0,0,0,,,,,6,11,transition_metal
Nh,Nihonium,113,FALSE,#000000,0,0,0,0,,,,,6,12,other
Uut,Ununtrium,113,FALSE,#000000,0,0,0,0,,,,,6,12,other
Fl,Flerovium,114,FALSE,#000000,0,0,0,0,,,,,6,13,other
Uuq,Ununquadium,114,FALSE,#000000,0,0,0,0,,,,,6,13,other
Mc,Moscovium,115,FALSE,#000000,0,0,0,0,,,,,6,14,other
Uup,Ununpentium,115,FALSE,#000000,0,0,0,0,,,,,6,14,other
Lv,Livermorium,116,FALSE,#000000,0,0,0,0,,,,,6,15,other
Uuh,Ununhexium,116,FALSE,#000000,0,0,0,0,,,,,6,15,other
Ts,Tennessine,117,FALSE,#000000,0,0,0,0,,,,,6,16,other
Uus,Ununseptium,117,FALSE,#000000,0,0,0,0,,,,,6,16,other
Og,Oganesson,118,FALSE,#000000,0,0,0,0,,,,,6,17,other
Uuo,Ununoctium,118,FALSE,#000000,0,0,0,0,,,,,6,17,other
